ds,y
3/10/2020,15
2/10/2020,11
1/10/2020,15
30/09/2020,6
29/09/2020,10
28/09/2020,13
27/09/2020,13
26/09/2020,7
25/09/2020,5
24/09/2020,5
23/09/2020,8
22/09/2020,1
21/09/2020,3
20/09/2020,3
19/09/2020,8
18/09/2020,6
17/09/2020,1
16/09/2020,4
15/09/2020,3
14/09/2020,4
13/09/2020,1
12/9/2020,1
11/9/2020,5
10/9/2020,3
9/9/2020,2
8/9/2020,3
7/9/2020,4
6/9/2020,3
5/9/2020,1
4/9/2020,2
3/9/2020,4
2/9/2020,3
1/9/2020,3
31/08/2020,3
30/08/2020,1
29/08/2020,6
28/08/2020,4
27/08/2020,3
26/08/2020,4
25/08/2020,5
24/08/2020,5
23/08/2020,4
22/08/2020,6
21/08/2020,3
20/08/2020,5
19/08/2020,10
18/08/2020,11
17/08/2020,7
16/08/2020,8
15/08/2020,10
14/08/2020,12
13/08/2020,14
12/8/2020,11
11/8/2020,12
10/8/2020,11
9/8/2020,5
8/8/2020,2
7/8/2020,7
6/8/2020,4
5/8/2020,5
4/8/2020,7
3/8/2020,5
2/8/2020,5
1/8/2020,1
31/07/2020,5
30/07/2020,2
29/07/2020,3
28/07/2020,1
27/07/2020,6
26/07/2020,2
25/07/2020,1
24/07/2020,5
23/07/2020,2
22/07/2020,2
21/07/2020,1
20/07/2020,2
19/07/2020,2
18/07/2020,3
17/07/2020,2
16/07/2020,5
15/07/2020,5
14/07/2020,3
13/07/2020,1
12/7/2020,4
11/7/2020,2
10/7/2020,
9/7/2020,2
8/7/2020,1
7/7/2020,3
6/7/2020,1
5/7/2020,2
4/7/2020,4
3/7/2020,2
2/7/2020,4
1/7/2020,3
30/06/2020,8
29/06/2020,3
28/06/2020,5
27/06/2020,8
26/06/2020,2
25/06/2020,5
24/06/2020,5
23/06/2020,4
22/06/2020,12
21/06/2020,8
20/06/2020,4
19/06/2020,4
18/06/2020,5
17/06/2020,8
16/06/2020,9
15/06/2020,8
14/06/2020,5
13/06/2020,5
12/6/2020,10
11/6/2020,9
10/6/2020,15
9/6/2020,12
8/6/2020,10
7/6/2020,12
6/6/2020,11
5/6/2020,13
4/6/2020,17
3/6/2020,19
2/6/2020,24
1/6/2020,21
31/05/2020,22
30/05/2020,25
29/05/2020,16
28/05/2020,28
27/05/2020,25
26/05/2020,26
25/05/2020,26
24/05/2020,32
23/05/2020,28
22/05/2020,42
21/05/2020,38
20/05/2020,31
19/05/2020,36
18/05/2020,39
17/05/2020,32
16/05/2020,29
15/05/2020,47
14/05/2020,46
13/05/2020,60
12/5/2020,47
11/5/2020,66
10/5/2020,72
9/5/2020,77
8/5/2020,79
7/5/2020,69
6/5/2020,77
5/5/2020,84
4/5/2020,93
3/5/2020,91
2/5/2020,79
1/5/2020,94
30/04/2020,91
29/04/2020,107
28/04/2020,113
27/04/2020,132
26/04/2020,152
25/04/2020,142
24/04/2020,155
23/04/2020,157
22/04/2020,181
21/04/2020,191
20/04/2020,209
19/04/2020,186
18/04/2020,210
17/04/2020,205
16/04/2020,245
15/04/2020,280
14/04/2020,259
13/04/2020,276
12/4/2020,268
11/4/2020,288
10/4/2020,303
9/4/2020,271
8/4/2020,324
7/4/2020,276
6/4/2020,255
5/4/2020,245
4/4/2020,270
3/4/2020,242
2/4/2020,214
1/4/2020,241
31/03/2020,201
30/03/2020,171
29/03/2020,145
28/03/2020,143
27/03/2020,136
26/03/2020,102
25/03/2020,111
24/03/2020,76
23/03/2020,82
22/03/2020,55
21/03/2020,41
20/03/2020,40
19/03/2020,35
18/03/2020,25
17/03/2020,15
16/03/2020,11
15/03/2020,7
14/03/2020,7
13/03/2020,3
12/3/2020,
11/3/2020,3
10/3/2020,1
9/3/2020,
8/3/2020,
7/3/2020,1
6/3/2020,
5/3/2020,
4/3/2020,
3/3/2020,
2/3/2020,
1/3/2020,
11/3/2022,33
10/3/2022,31
9/3/2022,41
8/3/2022,91
7/3/2022,21
6/3/2022,21
5/3/2022,74
4/3/2022,20
3/3/2022,59
2/3/2022,56
1/3/2022,99
28/02/2022,24
27/02/2022,25
26/02/2022,76
25/02/2022,59
24/02/2022,53
23/02/2022,60
22/02/2022,143
21/02/2022,44
20/02/2022,25
19/02/2022,89
18/02/2022,105
17/02/2022,93
16/02/2022,95
15/02/2022,187
14/02/2022,45
13/02/2022,45
12/2/2022,86
11/2/2022,76
10/2/2022,108
9/2/2022,98
8/2/2022,176
7/2/2022,42
6/2/2022,40
5/2/2022,100
4/2/2022,96
3/2/2022,87
2/2/2022,87
1/2/2022,158
31/01/2022,39
30/01/2022,33
29/01/2022,71
28/01/2022,78
27/01/2022,70
26/01/2022,73
25/01/2022,132
24/01/2022,28
23/01/2022,32
22/01/2022,86
21/01/2022,87
20/01/2022,93
19/01/2022,91
18/01/2022,161
17/01/2022,44
16/01/2022,40
15/01/2022,80
14/01/2022,84
13/01/2022,77
12/1/2022,89
11/1/2022,116
10/1/2022,40
9/1/2022,45
8/1/2022,96
7/1/2022,72
6/1/2022,66
5/1/2022,157
4/1/2022,53
3/1/2022,44
2/1/2022,28
1/1/2022,65
31/12/2021,71
